Слово, Частота, Частота (%)
the,28,5.354
of,21,4.015
lorem,20,3.824
ipsum,20,3.824
a,15,2.868
it,11,2.103
in,10,1.912
and,10,1.912
is,8,1.530
from,8,1.530
by,7,1.338
to,7,1.338
text,5,0.956
words,5,0.956
has,4,0.765
with,4,0.765
latin,4,0.765
on,4,0.765
their,3,0.574
like,3,0.574
making,3,0.574
many,3,0.574
content,3,0.574
over,3,0.574
11032,3,0.574
as,3,0.574
are,3,0.574
injected,3,0.574
humour,3,0.574
use,3,0.574
versions,3,0.574
look,2,0.382
11033,2,0.382
more,2,0.382
first,2,0.382
model,2,0.382
for,2,0.382
form,2,0.382
malorum,2,0.382
going,2,0.382
finibus,2,0.382
have,2,0.382
literature,2,0.382
line,2,0.382
here,2,0.382
internet,2,0.382
sometimes,2,0.382
you,2,0.382
years,2,0.382
will,2,0.382
which,2,0.382
where,2,0.382
when,2,0.382
web,2,0.382
using,2,0.382
typesetting,2,0.382
type,2,0.382
this,2,0.382
there,2,0.382
that,2,0.382
standard,2,0.382
not,2,0.382
some,2,0.382
sit,2,0.382
since,2,0.382
simply,2,0.382
sections,2,0.382
reproduced,2,0.382
readable,2,0.382
publishing,2,0.382
popular,2,0.382
passages,2,0.382
passage,2,0.382
page,2,0.382
or,2,0.382
desktop,2,0.382
english,2,0.382
also,2,0.382
dummy,2,0.382
amet,2,0.382
dolor,2,0.382
at,2,0.382
bc,2,0.382
be,2,0.382
1500s,2,0.382
de,2,0.382
bonorum,2,0.382
book,2,0.382
comes,2,0.382
but,2,0.382
classical,2,0.382
cicero,2,0.382
45,2,0.382
et,2,0.382
sites,1,0.191
search,1,0.191
section,1,0.191
written,1,0.191
1960s,1,0.191
sentence,1,0.191
sheets,1,0.191
word,1,0.191
200,1,0.191
below,1,0.191
scrambled,1,0.191
slightly,1,0.191
software,1,0.191
believable,1,0.191
belief,1,0.191
2000,1,0.191
source,1,0.191
specimen,1,0.191
been,1,0.191
recently,1,0.191
professor,1,0.191
centuries,1,0.191
purpose,1,0.191
rackham,1,0.191
random,1,0.191
randomised,1,0.191
can,1,0.191
reader,1,0.191
chunk,1,0.191
reasonable,1,0.191
start,1,0.191
release,1,0.191
remaining,1,0.191
1914,1,0.191
renaissance,1,0.191
repeat,1,0.191
repetition,1,0.191
bytes,1,0.191
richard,1,0.191
roots,1,0.191
up,1,0.191
translation,1,0.191
treatise,1,0.191
true,1,0.191
always,1,0.191
alteration,1,0.191
unchanged,1,0.191
uncover,1,0.191
undoubtable,1,0.191
unknown,1,0.191
accompanied,1,0.191
we,1,0.191
used,1,0.191
was,1,0.191
uses,1,0.191
all,1,0.191
variations,1,0.191
various,1,0.191
aldus,1,0.191
very,1,0.191
theory,1,0.191
virginia,1,0.191
still,1,0.191
structures,1,0.191
suffered,1,0.191
sure,1,0.191
survived,1,0.191
tend,1,0.191
5,1,0.191
available,1,0.191
why,1,0.191
anything,1,0.191
therefore,1,0.191
an,1,0.191
those,1,0.191
through,1,0.191
accident,1,0.191
what,1,0.191
took,1,0.191
during,1,0.191
embarrassing,1,0.191
hidden,1,0.191
electronic,1,0.191
i,1,0.191
if,1,0.191
editors,1,0.191
including,1,0.191
industry,1,0.191
industrys,1,0.191
infancy,1,0.191
essentially,1,0.191
interested,1,0.191
into,1,0.191
dont,1,0.191
isnt,1,0.191
does,1,0.191
its,1,0.191
do,1,0.191
layout,1,0.191
leap,1,0.191
letraset,1,0.191
galley,1,0.191
evolved,1,0.191
exact,1,0.191
extremes,1,0.191
fact,1,0.191
ever,1,0.191
even,1,0.191
five,1,0.191
ethics,1,0.191
etc,1,0.191
free,1,0.191
letters,1,0.191
generate,1,0.191
generated,1,0.191
generator,1,0.191
generators,1,0.191
get,1,0.191
established,1,0.191
good,1,0.191
h,1,0.191
hampdensydney,1,0.191
handful,1,0.191
packages,1,0.191
now,1,0.191
obscure,1,0.191
come,1,0.191
old,1,0.191
combined,1,0.191
one,1,0.191
only,1,0.191
opposed,1,0.191
college,1,0.191
original,1,0.191
normal,1,0.191
cites,1,0.191
pagemaker,1,0.191
paragraphs,1,0.191
chunks,1,0.191
piece,1,0.191
point,1,0.191
evil,1,0.191
popularised,1,0.191
predefined,1,0.191
printer,1,0.191
make,1,0.191
distribution,1,0.191
distracted,1,0.191
lists,1,0.191
discovered,1,0.191
long,1,0.191
dictionary,1,0.191
looked,1,0.191
looking,1,0.191
looks,1,0.191
majority,1,0.191
printing,1,0.191
default,1,0.191
contrary,1,0.191
mcclintock,1,0.191
middle,1,0.191
containing,1,0.191
consectetur,1,0.191
moreorless,1,0.191
necessary,1,0.191
need,1,0.191
noncharacteristic,1,0.191
